Incident_ID,City,Vehicle_Type,Accident_Type,Severity,Weather_Condition,Driver_Age,Driver_Gender,Injury_Count,Damage_Cost_PHP,Traffic_Volume,Road_Lighting,Speed_Limit
MMTI-2025-17316,Quezon,Truck,Hit and Run,3.0,Cloudy,22.0,Male,0,381411.35,Heavy,Well-Lit,60
MMTI-2025-05239,Quezon,Car,Head-on,3,Rainy,36.0,female ,0,760669.34,Light,dark,30
MMTI-2025-07601,Quezon,Motorcycle,Head-on,3,,35.0,Male,0,18932.63,Moderate,Well-Lit,60 km/h
MMTI-2025-21822,Caloocan,,Hit and Run,2,Clear,35.0,Male,0,35445.32,Moderate,Well-Lit,30
MMTI-2025-19239,Mandaluyong,Car,Hit and Run,3,Clear,42.0,Male,0,73514.63,Heavy,Poorly-Lit,30
MMTI-2025-14541,Muntinlupa,Motorcycle,Head-on,3.0,Clear,38.0,Male,0,55.2k,Moderate,Poorly-Lit,60
MMTI-2025-16051,Taguig,Car,Rear-end,3.0,Cloudy,19.0,Male,0,275441.67,Heavy,Well-Lit,60
MMTI-2025-02400,Manila,Car,Head-on,6,Cloudy,29.0,Male,2,187.7k,Heavy,Poorly-Lit,60
MMTI-2025-16376,MANILA ,Motorcycle,Side-swipe,,Clear,19.0,Male,0,17751.24,Moderate,Well-Lit,30 km/h
MMTI-2025-04698,Pasig,Car,Side-swipe,6,Clear,49.0,Male,4,149408.68,Moderate,dark,80
MMTI-2025-08521,Quezon,SUV/Van,Side-swipe,3,Clear,25.0,Female,0,277701.89,,Well-Lit,100 km/h
MMTI-2025-07886,Mandaluyong,Car,Side-swipe,3,Clear,54.0,Male,0,75582.31,MODERATE,Well-Lit,60
MMTI-2025-12225,Marikina,Car,Hit and Run,3.0,Clear,44.0,Male,0,58782.37,Heavy,Poorly-Lit,80
MMTI-2025-17849,Muntinlupa,Truck,Side-swipe,,Rain,51.0,Male,0,634315.49,Light,Well-Lit,40
MMTI-2025-08919,Paranaque,Car,Head-on,2.0,Clear,40.0,Male,0,101749.74,Moderate,Unlit,60
MMTI-2025-04195,Quezon,Car,Hit and Run,6,Stormy,150.0,Male,2,3408212.9,Heavy,Poorly-Lit,60
MMTI-2025-01165,,Car,Hit and Run,Risk Level 3,Rain,26.0,Male,0,95734.12,Moderate,Well-Lit,80 kph
MMTI-2025-18187,,SUV/Van,Head-on,Risk Level 6,Clear,21.0,Male,1,612457.07,Moderate,Well-Lit,60
MMTI-2025-20112,Pasig,Car,Rear-end,3.0,Clear,22.0,male,0,137671.7,Heavy,Well-Lit,60
MMTI-2025-09873,Marikina,Car,Side-swipe,Risk Level 3,Clear,60.0,Male,0,60674.45,Moderate,Well-Lit,40
MMTI-2025-08735,,Bus,Hit and Run,3,Clear,50.0,Female,0,896102.07,Heavy,Well-Lit,100
MMTI-2025-03964,QUEZON ,,Side-swipe,6,Clear,999.0,male,4,718601.95,Light,Well-Lit,30 km/h
MMTI-2025-11258,Paranaque,SUV/Van,Side-swipe,Risk Level 3,,29.0,M,0,,Heavy,Well-Lit,30
MMTI-2025-01992,Marikina,Car,Rear-end,3.0,Clear,59.0,Male,0,62201.41,Moderate,Unlit,60
MMTI-2025-07362,Quezon,Truck,Rear-end,3.0,Cloudy,42.0,Male,0,416510.9,Heavy,Well-Lit,60
MMTI-2025-19347,Taguig,Truck,Hit and Run,3.0,Clear,43.0,Male,0,,Heavy,Poorly-Lit,30
MMTI-2025-06754,Pasig,Motorcycle,Head-on,1,Clear,35.0,Male,0,162060.95,Moderate,Unlit,60
MMTI-2025-09704,Makati,Car,Rear-end,Risk Level 3,Cloudy,17.0,Male,0,230600.59,Heavy,Poorly-Lit,60
MMTI-2025-03004,Las Pinas,Motorcycle,Side-swipe,3.0,Clear,41.0,Female,0,85794.97,Moderate,Well-Lit,80 km/h
MMTI-2025-20456,,Truck,Hit and Run,3,Rain,60.0,Female,0,1511108.93,,Well-Lit,60 km/h
MMTI-2025-11359,Quezon,SUV/Van,Side-swipe,3.0,Cloudy,34.0,Male,0,531421.05,Heavy,Well-Lit,60
MMTI-2025-02594,Pasig,,Side-swipe,Risk Level 3,,50.0,Male,0,76745.8,,Well-Lit,40 km/h
MMTI-2025-12441,Muntinlupa,Truck,Rear-end,3.0,,41.0,Female,0,1501840.5,Heavy,Well-Lit,80 kph
MMTI-2025-04657,Paranaque,SUV/Van,Rear-end,3.0,Clear,36.0,Male,0,118779.87,Light,Poorly-Lit,60
MMTI-2025-05989,Quezon,Motorcycle,Side-swipe,,Clear,31.0,Female,0,14006.47,MODERATE,Poorly-Lit,40 km/h
MMTI-2025-18823,Caloocan,SUV/Van,Head-on,Risk Level 3,Clear,28.0,Male,0,43714.33,Heavy,Poorly-Lit,100 km/h
MMTI-2025-11429,,SUV/Van,Head-on,3.0,Rain,,Female,0,146206.81,Heavy,Unlit,60 km/h
MMTI-2025-10124,Taguig,Car,Head-on,3,Cloudy,31.0,Male,0,331451.56,Moderate,POOR,80 kph
MMTI-2025-20588,Pasay,Bus,Rear-end,,Cloudy,53.0,Male,0,434967.82,Heavy,Well-Lit,60
MMTI-2025-06018,Makati,Car,Rear-end,3.0,Cloudy,49.0,Female,0,255964.22,Moderate,Poorly-Lit,60 km/h
MMTI-2025-17014,Quezon,SUV/Van,Rear-end,6,Cloudy,29.0,Male,4,433874.27,Heavy,Poorly-Lit,60
MMTI-2025-09687,Pasay,Motorcycle,Side-swipe,1,Clear,67.0,Male,0,"PHP 45,693.68",Moderate,dark,60
MMTI-2025-02508,Mandaluyong,,Hit and Run,,Clear,30.0,Male,0,,Light,Well-Lit,40 km/h
MMTI-2025-05127,Malabon,Car,Rear-end,2,Clear,50.0,Female,0,,HEAVY,Well-Lit,60
MMTI-2025-15359,Quezon,Car,Head-on,3,Cloudy,30.0,Female,0,"PHP 580,849.38",Moderate,Well-Lit,60
MMTI-2025-14394,,Car,Side-swipe,3.0,Clear,31.0,Male,0,54774.29,Heavy,Unlit,30
MMTI-2025-05008,,Car,Head-on,3,Clear,,Male,0,99338.48,Heavy,Well-Lit,40
MMTI-2025-13424,Quezon,Truck,Side-swipe,Risk Level 3,Rainy,22.0,Male,0,1189177.17,Heavy,well lit,60
MMTI-2025-13468,Manila,Car,Hit and Run,3,Clear,,Male,0,227386.27,Heavy,Unlit,80
MMTI-2025-21821,,Truck,Side-swipe,Risk Level 3,Clear,42.0,Female,0,1477.5k,Heavy,POOR,40 km/h
MMTI-2025-15834,Manila,Truck,Head-on,Risk Level 3,Clear,17.0,Female,0,,Moderate,Poorly-Lit,60
MMTI-2025-00428,Quezon,Jeepney,Rear-end,6,Cloudy,42.0,Male,1,444668.95,Moderate,Well-Lit,60 km/h
MMTI-2025-20275,Paranaque,Motorcycle,Side-swipe,2,Clear,38.0,Female,0,111301.91,Heavy,Well-Lit,60
MMTI-2025-14796,Marikina,SUV/Van,Side-swipe,3,,49.0,Male,0,261047.66,Heavy,POOR,40 km/h
MMTI-2025-18221,Manila,Bus,Hit and Run,6.0,Clear,45.0,Male,4,,Heavy,Well-Lit,60
MMTI-2025-07141,Pasig,,Rear-end,,,48.0,Male,0,24906.57,Heavy,Poorly-Lit,60 km/h
MMTI-2025-14645,Mandaluyong,Car,Head-on,3,Clear,51.0,Male,0,68013.65,Moderate,Well-Lit,60
MMTI-2025-13493,Muntinlupa,Bus,Side-swipe,3,,38.0,Male,0,751184.54,Moderate,No Lights,60
MMTI-2025-06285,Quezon,Car,Side-swipe,6.0,Rainy,19.0,Female,1,874978.61,Light,Well-Lit,40
MMTI-2025-21540,Quezon,Truck,Hit and Run,Risk Level 6,Rainy,31.0,Male,1,1732366.51,Moderate,Unlit,60
MMTI-2025-10211,,Motorcycle,Rear-end,3,Clear,53.0,Unknown,0,"PHP 23,651.64",HEAVY,Well-Lit,40 km/h
MMTI-2025-21622,NAVOTAS ,,Rear-end,Risk Level 2,,32.0,Male,3,89780.87,Heavy,Well-Lit,60
MMTI-2025-16786,Las Pinas,Truck,Rear-end,3,Clear,46.0,Female,0,91152.46,Heavy,Well-Lit,60
MMTI-2025-01806,Makati,SUV/Van,Rear-end,3.0,Cloudy,25.0,Male,0,"PHP 237,155.88",MODERATE,Well-Lit,60
MMTI-2025-09482,Quezon,Car,Hit and Run,3,Rainy,48.0,Male,0,944007.3,Moderate,Well-Lit,80
MMTI-2025-11414,Pasig,Motorcycle,Side-swipe,3,Clear,39.0,Male,0,"PHP 157,855.73",MODERATE,Unlit,40
MMTI-2025-20743,Marikina,Car,Rear-end,3,Clear,45.0,Male,0,63.4k,Heavy,Well-Lit,80 km/h
MMTI-2025-20625,Quezon,Motorcycle,Hit and Run,6,Stormy,22.0,Female,1,2202470.08,Heavy,Well-Lit,100
MMTI-2025-17321,Quezon,SUV/Van,Head-on,3,Cloudy,28.0,Male,0,554416.62,Heavy,Well-Lit,60
MMTI-2025-03755,Makati,Car,Head-on,2,Cloudy,35.0,Male,0,239364.83,Light,Well-Lit,30
MMTI-2025-12167,Pasig,Car,Head-on,Risk Level 3,Clear,42.0,Male,0,"PHP 159,406.32",Heavy,Well-Lit,60
MMTI-2025-06352,Pasig,SUV/Van,Side-swipe,3,Clear,31.0,Male,0,,,well lit,40
MMTI-2025-02207,San Juan,Truck,Side-swipe,,Rain,39.0,Female,0,460725.59,Moderate,Well-Lit,30
MMTI-2025-11273,Manila,Car,Rear-end,3,Cloudy,42.0,Male,0,203976.88,Moderate,Well-Lit,80
MMTI-2025-20349,Quezon,Car,Hit and Run,3.0,Rainy,44.0,Female,0,886.1k,Heavy,Well-Lit,40
MMTI-2025-18154,Manila,,Head-on,4,Cloudy,38.0,Male,1,156912.65,Moderate,Poorly-Lit,100
MMTI-2025-06804,Marikina,Motorcycle,Side-swipe,3.0,Clear,31.0,F,0,62624.11,Moderate,Well-Lit,60
MMTI-2025-05931,Valenzuela,Bus,Rear-end,2,Clear,33.0,Male,0,,MODERATE,Poorly-Lit,80
MMTI-2025-10156,Manila,SUV/Van,Rear-end,2,Cloudy,22.0,Male,0,"PHP 174,082.14",Heavy,Poorly-Lit,30 kph
MMTI-2025-09328,Caloocan,,Hit and Run,3,Clear,43.0,Male,0,164027.42,Moderate,No Lights,40
MMTI-2025-01515,Manila,Motorcycle,Head-on,Risk Level 1,Cloudy,150.0,Female,0,200152.1,Moderate,Poorly-Lit,80
MMTI-2025-15089,Quezon,Car,Hit and Run,6,Cloudy,23.0,Male,3,541745.09,Heavy,Well-Lit,80
MMTI-2025-03446,Quezon,Car,Head-on,Risk Level 3,Rainy,38.0,Male,0,1369619.5,Heavy,Well-Lit,40
MMTI-2025-18961,Navotas,Car,Rear-end,2,Clear,36.0,female ,0,36224.89,Heavy,Unlit,80
MMTI-2025-06356,Manila,Car,Head-on,,Clear,30.0,female ,0,29705.24,Moderate,Poorly-Lit,60 km/h
MMTI-2025-03486,Quezon,,Head-on,3,Cloudy,54.0,Male,0,"PHP 147,671.45",Heavy,Well-Lit,60
MMTI-2025-20503,,Bus,Side-swipe,3.0,Clear,57.0,Female,0,640033.04,Heavy,Well-Lit,60
MMTI-2025-18385,Paranaque,Car,Hit and Run,Risk Level 6,Clear,26.0,Male,1,119514.07,Light,Well-Lit,60
MMTI-2025-12021,Makati,Car,Head-on,2.0,Cloudy,36.0,Female,4,247025.92,Moderate,Well-Lit,80 km/h
MMTI-2025-14540,Quezon,Car,Hit and Run,3,Cloudy,44.0,Female,0,438819.7,Heavy,Well-Lit,30
MMTI-2025-11917,Taguig,Bus,Hit and Run,3,,25.0,Male,0,,Moderate,Poorly-Lit,80 km/h
MMTI-2025-13378,Quezon,Car,Side-swipe,3.0,Clear,17.0,Female,0,38564.16,,Poorly-Lit,60
MMTI-2025-00889,Taguig,Motorcycle,Head-on,3,Cloudy,34.0,Male,0,306152.9,HEAVY,Well-Lit,60
MMTI-2025-10455, manila,Jeepney,Head-on,3.0,Clear,32.0,Female,0,,Heavy,Well-Lit,60
MMTI-2025-17703,Paranaque,Car,Rear-end,Risk Level 3,Clear,42.0,M,0,101780.87,Heavy,Well-Lit,30
MMTI-2025-17928,,Jeepney,Head-on,3,Storm,21.0,Male,0,40724.17,HEAVY,Lit,60
MMTI-2025-21924,Manila,Car,Rear-end,Risk Level 3,Cloudy,61.0,Male,0,194669.54,Heavy,Well-Lit,100
MMTI-2025-16750,Pasig,,Head-on,Risk Level 3,Clear,28.0,Male,0,193588.19,Heavy,Well-Lit,40
MMTI-2025-00988,Caloocan,SUV/Van,Rear-end,3,,43.0,Male,0,,Heavy,well lit,40
MMTI-2025-09401,Muntinlupa,Car,Head-on,3,Clear,59.0,Male,0,55471.61,Heavy,Poorly-Lit,30
MMTI-2025-04290,,Motorcycle,Hit and Run,3.0,Clear,30.0,Female,0,16383.42,Heavy,Well-Lit,40
MMTI-2025-11932,Quezon,Car,Rear-end,3,Cloudy,33.0,Female,0,368295.24,Moderate,Well-Lit,80 km/h
MMTI-2025-07823,Makati,Car,Head-on,Risk Level 3,Cloudy,43.0,Male,0,222998.7,Moderate,Well-Lit,30
MMTI-2025-00665,Las Pinas,Motorcycle,Rear-end,3,Clear,41.0,Male,0,,HEAVY,Well-Lit,60
MMTI-2025-06610,Quezon,Car,Rear-end,Risk Level 3,Cloudy,26.0,Male,0,414564.82,MODERATE,well lit,60 kph
MMTI-2025-12206,Marikina,Truck,Side-swipe,Risk Level 3,Clear,37.0,Male,0,59161.37,MODERATE,Lit,40 km/h
MMTI-2025-18145,Paranaque,Car,Rear-end,2,Clear,39.0,Male,0,107649.12,Light,Well-Lit,60
MMTI-2025-15978,Quezon,SUV/Van,Head-on,3,Cloudy,51.0,Male,0,"PHP 370,099.57",Moderate,Well-Lit,100
MMTI-2025-12611,Taguig,Car,Side-swipe,2,Cloudy,56.0,Male,0,"PHP 288,925.70",Heavy,Well-Lit,80
MMTI-2025-12613,Quezon,Car,Side-swipe,6,Stormy,26.0,Female,1,"PHP 4,588,606.88",Heavy,Well-Lit,60
MMTI-2025-15923,Valenzuela,Motorcycle,Rear-end,3,Clear,30.0,Male,0,37883.14,Heavy,Poorly-Lit,80
MMTI-2025-22560,Manila,Bus,Rear-end,Risk Level 3,,46.0,Female,0,633348.93,Heavy,Well-Lit,80
MMTI-2025-14421,Makati,Jeepney,Hit and Run,6.0,Rain,57.0,Male,2,,Heavy,Poorly-Lit,60
MMTI-2025-07125,Quezon,Car,Head-on,3.0,Rainy,47.0,Male,0,1119858.75,Heavy,Well-Lit,40
MMTI-2025-19130,Taguig,Car,Hit and Run,6,Cloudy,27.0,Male,4,318517.58,Heavy,Lit,60
MMTI-2025-02783,Paranaque,Bus,Side-swipe,,Clear,41.0,Female,0,186526.13,HEAVY,Poorly-Lit,80
MMTI-2025-09369,Manila,Car,Side-swipe,3.0,Cloudy,53.0,Male,4,"PHP 175,381.19",Moderate,well lit,60 km/h
MMTI-2025-21740,Marikina,Car,Rear-end,3,Clear,30.0,male,0,61708.19,MODERATE,Well-Lit,100 km/h
MMTI-2025-23193,Quezon,Motorcycle,Side-swipe,3,,55.0,Male,0,48296.96,Heavy,Well-Lit,60 kph
MMTI-2025-01991,Quezon,Car,Side-swipe,6,Cloudy,41.0,Male,1,579423.2,Heavy,dark,60 km/h
MMTI-2025-13358,Manila,Bus,Side-swipe,,,42.0,Female,1,190532.15,Heavy,Poorly-Lit,60
MMTI-2025-21362,,Motorcycle,Head-on,1,Clear,,M,0,12937.43,Moderate,Well-Lit,60
MMTI-2025-02583,Quezon,SUV/Van,Head-on,3,Rainy,30.0,Male,0,1080607.66,Heavy,Poorly-Lit,80 kph
MMTI-2025-20154,Quezon,Car,Hit and Run,3,Rainy,39.0,Female,0,768854.13,Heavy,Well-Lit,40
MMTI-2025-06799,Quezon,Car,Hit and Run,6.0,Stormy,48.0,Male,2,2308626.22,Moderate,Poorly-Lit,40
MMTI-2025-21514,Manila,SUV/Van,Hit and Run,,Rain,40.0,Male,0,170606.22,Heavy,Poorly-Lit,40
MMTI-2025-14942,Pasig,Car,Hit and Run,6,Clear,34.0,female ,1,134790.16,Moderate,Well-Lit,100
MMTI-2025-22197,Quezon,Car,Rear-end,2,Cloudy,58.0,Female,0,570119.7,Light,Poorly-Lit,60 km/h
MMTI-2025-22656,QUEZON ,Car,Side-swipe,3,,34.0,Male,0,,Light,Poorly-Lit,100
MMTI-2025-15177,Pasay,Truck,Side-swipe,3,Storm,,Male,0,"PHP 450,585.00",Heavy,Well-Lit,60 kph
MMTI-2025-02890,Makati,Car,Head-on,3,Cloudy,29.0,Male,0,214984.26,Heavy,Poorly-Lit,80
MMTI-2025-01259,Manila,Car,Side-swipe,3.0,Cloudy,42.0,male,0,184100.7,Moderate,Poorly-Lit,40
MMTI-2025-19622,Quezon,Car,Rear-end,6,Stormy,31.0,Male,4,"PHP 5,137,923.76",Heavy,Well-Lit,40 km/h
MMTI-2025-06954,Valenzuela,Truck,Head-on,Risk Level 3,Clear,37.0,F,0,37576.45,MODERATE,Well-Lit,60
MMTI-2025-21986,Mandaluyong,Car,Side-swipe,3,Clear,35.0,Female,0,74106.4,Heavy,dark,60
MMTI-2025-21413,Muntinlupa,Car,Hit and Run,Risk Level 3,Clear,40.0,Male,0,52365.71,Heavy,Well-Lit,100 kph
MMTI-2025-07426,Quezon,Jeepney,Side-swipe,,Clear,50.0,M,0,27443.14,Heavy,Lit,60
MMTI-2025-03898, paranaque,Truck,Hit and Run,3.0,Storm,24.0,Male,0,,Heavy,Poorly-Lit,80
MMTI-2025-16791,Quezon,Car,Rear-end,3,Rainy,28.0,Male,0,687143.97,Heavy,Unlit,60
MMTI-2025-21182,Quezon,Car,Rear-end,3,Rainy,36.0,Female,0,827309.75,Light,Poorly-Lit,60
MMTI-2025-23463,,Jeepney,Rear-end,1,Clear,23.0,Male,0,30908.66,Moderate,Poorly-Lit,60
MMTI-2025-00670, manila,SUV/Van,Hit and Run,,Cloudy,40.0,Female,0,77911.11,Moderate,Well-Lit,60
MMTI-2025-04722,Manila,Car,Side-swipe,3,Cloudy,40.0,Female,0,192787.5,LIGHT,Well-Lit,40
MMTI-2025-23025,,SUV/Van,Side-swipe,Risk Level 2,Clear,41.0,Male,0,61949.1,Heavy,Well-Lit,60
